Sl No.,Product Name,Product Code,,ID No.,MONTHLY,ANNUAL,SINGLE_SYSTEM,LIFETIME,,Price slashed to 50%
1,Add Phase Number,ADD_PHASE_NUMBER,IBIM,IBIM-1110,5,30,50,150,,
2,All Tools,ALL_TOOLS,IBIM,IBIM-1132,60,599,,,,
3,Base Plate With Cage,BASE_PLATE_WITH_CAGE,IBIM,IBIM-1047,5,25,50,159,,
4,Bolt Connection,BOLT_CONNECTION,IBIM,IBIM-1160,5,25,50,129,,
5,Bolt Hole Generator by Two Points,BOLT_HOLE_GENERATOR_BY_TWO_POINTS,IBIM,IBIM-1044,5,30,60,189,,
6,Cap Plate With Stiffener,CAP_PLATE_WITH_STIFFENER,IBIM,IBIM-1013,5,30,50,159,,
7,Check Dimension And Properties,CHECK_DIMENSION_AND_PROPERTIES,IBIM,IBIM-1138,5,30,50,99,,
8,Check Drawing Content,CHECK_DRAWING_CONTENT,IBIM,IBIM-1085,5,30,50,99,,
9,Checking Tools,CHECKING_TOOLS,IBIM,IBIM-1007,5,30,50,99,,
10,Convert Beam Plate To Contour Plate And Vice Versa,CONVERT_BEAM_PLATE_TO_CONTOUR_PLATE_AND_VICE_VERSA,IBIM,IBIM-1098,5,30,50,129,,
11,Custom Beam With Plate,CUSTOM_BEAM_WITH_PLATE,IBIM,IBIM-1045,5,30,50,129,,
12,Double Angle,DOUBLE_ANGLE,IBIM,IBIM-1105,5,30,50,99,,
13,Drawing Dimensions,DRAWING_DIMENSIONS,IBIM,IBIM-1153,5,30,50,99,,
14,Drawing Properties Update,DRAWING_PROPERTIES_UPDATE,IBIM,IBIM-1048,5,30,40,89,,
15,Erection Sequence,ERECTION_SEQUENCE,IBIM,IBIM-1052,5,30,50,99,,
16,Ferrules At Bolt Location,FERRULES_AT_BOLT_LOCATION,IBIM,IBIM-1053,5,30,50,129,,
17,Ferrules At Reference Object Bolt,FERRULES_AT_REFERENCE_OBJECT_BOLT,IBIM,IBIM-1111,5,30,50,129,,
18,Fire Tie,FIRE_TIE,IBIM,IBIM-1159,5,30,50,129,,
19,Frame With Base Plate,FRAME_WITH_BASE_PLATE,IBIM,IBIM-1084,5,30,50,99,,
20,GA Mark And View Name,GA_MARK_AND_VIEW_NAME,IBIM,IBIM-1137,5,30,50,99,,
21,L Shape Base Plate,L_SHAPE_BASE_PLATE,IBIM,IBIM-1108,5,30,50,149,,
22,Lintel Plate,LINTEL_PLATE,IBIM,IBIM-1100,5,30,50,99,,
23,MainPart Galv Hole,MAINPART_GALV_HOLE,IBIM,IBIM-1109,5,30,50,99,,
24,Member Position,MEMBER_POSITION,IBIM,IBIM-1096,5,30,50,99,,
25,Multiple Plates,MULTIPLE_PLATES,IBIM,IBIM-1103,5,30,50,99,,
